nodo,x,y
Balugães,1787,2542
Aldreu,2172,2217
Vila Cova,2143,1780
Perelhal,2106,1579
Cristelo,2126,1186
Vilar do Monte,1931,1845
Gilmonde,1906,1415
Quintiães,1878,2240
Courel,1916,958
Pereira,1786,1279
Barcelos,1698,1613
Lijó,1635,1942
Alvito,1592,2111
Panque,1546,2417
Carvalhas,1630,1120
Grimancelos,1589,859
Várzea,1515,1490
Galegos,1428,1818
Areias de Vilar,1416,1654
Oliveira,1348,2060
Pousa,1223,1756
Bastuço,1190,1473
Moure,1405,1332
Lousado,1082,122
Fradelos,1433,240
Calendário,1080,484
Gondifelos,1433,592
Outiz,1234,575
Abade de Vermoim,911,441
Famalicão,1034,625
Louro,1141,734
Nine,1146,933
Requião,825,608
Castelões,575,592
Mogege,480,672
Novais,603,451
Riba de Ave,361,418
Bairro,547,290
Cruz,904,801
Arnoso,933,985
Telhado,690,869
Joane,542,805
Cabeçudos,933,268
Cabreiros,973,1650
Tadim,1029,1431
Tebosa,960,1207
Escudeiros,682,1179
Figueiredo,750,1371
Esporões,604,1407
Aveleda,842,1495
Cabreiros,973,1650
Maximinos,726,1656
Nogueira,539,1520
Nogueiró,447,1683
Sobreposta,199,1698
Este,277,1851
Gualtar,509,1819
Crespos,331,2068
Palmeira,701,2035
Panóias,858,1838
Dume,693,1838
